word|transliteration
エスカレーター|えすかれーたー
お嬢さん|おじょうさん
手帳|てちょう
タオル|たおる
売店|ばいてん
パチンコ|ぱちんこ
謝る|あやまる
ケーキ|けーき
天気予報|てんきよほう
変|へん
一生懸命|いっしょうけんめい
間違う|まちがう
事務室|じむしつ
スーツ|すーつ
チケット|ちけっと
チョコレート|ちょこれーと
脱ぐ|ぬぐ
年賀状|ねんがじょう
乗り物|のりもの
布団|ふとん
役に立つ|やくにたつ
破れる|やぶれる
用事|ようじ
写す|うつす
腕時計|うでどけい
贈り物|おくりもの
チャンネル|ちゃんねる
冷やす|ひやす
片付ける|<div>かたづける<br></div>
乾杯|かんぱい
停車|ていしゃ
鳴く|なく
ガソリンスタンド|がそりんすたんど
片道|かたみち
交番|こうばん
大分|だいぶ
デート|でーと
梅雨|つゆ
真っ直ぐ|まっすぐ
レモン|れもん
上着|うわぎ
偉い|えらい
書き方|かきかた
炊く|たく
チーズ|ちーず
ドライブ|どらいぶ
踏切|ふみきり
ラケット|らけっと
受付|うけつけ
怒る|おこる
化粧|けしょう
都合|つごう
ひげ|ひげ
本棚|ほんだな
真っ暗|まっくら
沸く|わく
売り切れる|うりきれる
押し入れ|おしいれ
革|かわ
ぐっすり|ぐっすり
紅茶|こうちゃ
邪魔|じゃま
ソース|そーす
足す|たす
トマト|とまと
バター|ばたー
発車|はっしゃ
バレーボール|ばれーぼーる
おかず|おかず
カレンダー|かれんだー
とにかく|とにかく
楽しみ|たのしみ
おしゃべり|おしゃべり
読書|どくしょ
寒気|さむけ
夕焼け|ゆうやけ
痛める|いためる
くすぐったい|くすぐったい
泥棒|どろぼう
襖|ふすま
美人|びじん
タイプライター|たいぷらいたー
再来年|さらいねん
冗談|じょうだん
近づく|ちかづく
電話帳|でんわちょう
ベル|べる
干す|ほす
金額|きんがく
蚊|か
悲しむ|かなしむ
クーラー|くーらー
失礼|しつれい
洗濯機|せんたくき
豆腐|とうふ
昼寝|ひるね
不便|ふべん
ミルク|みるく
向こう側|むこうがわ
億|おく
お礼|おれい
着せる|きせる
サラダ|さらだ
代える|かえる
四角|しかく
急行|きゅうこう
交差点|こうさてん
覚める|さめる
昼休み|ひるやすみ
ベルト|べると
真っ黒|まっくろ
皆様|みなさま
ラーメン|らーめん
ライター|らいたー
ワイシャツ|わいしゃつ
転ぶ|ころぶ
シャワー|しゃわー
扇風機|せんぷうき
遅刻|ちこく
釣る|つる
うどん|うどん
仮名|かな
記念日|きねんび
下り|くだり
掲示板|けいじばん
凍る|こおる
ごみ|ごみ
スーパーマーケット|すーぱーまーけっと
ぶらぶら|ぶらぶら<div>ふらふら</div>
アナウンサー|あなうんさー
自炊|じすい
止める|とめる
年下|としした
治す|なおす
箸|はし
花見|はなみ
引き出し|ひきだし
訳|やく
いかが|いかが
交通費|こうつうひ
ステレオ|すてれお
再会|さいかい
滑る|すべる
早口|はやくち
裏返す|うらがえす
角|かど
きらきら|きらきら
三角|さんかく
激しい|はげしい
経営|けいえい
拡大|かくだい
姿勢|しせい
周辺|しゅうへん
他|た
達する|たっする
当時|とうじ
当然|とうぜん
能力|のうりょく
判断|はんだん
過ぎる|すぎる
正確|せいかく
戦争|せんそう
